comment_id,sentence_idx_in_comment,sentence,label,source
15,1,"In its newly-released 2008 yearbook of statistics, the Vatican claims Muslims now make up 19.2 per cent of the world's population with Catholics at 17.4 per cent.(2012-MUSLIM 22.7%, CATHOLIC 18.85%)",0,threat_corpus
15,2,"In the Vatican newspaper, L'Osservatore Romano, Monsignor Vittorio Formenti, wrote: ""For the first time in history we are no longer at the top: the Muslims have overtaken us.""",0,threat_corpus
16,0,ANOTHER BRAINWASHED IDIOT...,0,threat_corpus
16,1,"PLEASE SHOW SOME PROOF THAT ""THEY RESPONSIBLE FOR 100% RAPES IN NORWAY "".",0,threat_corpus
16,2,AND MAKE SURE THEY ARE FROM RELIABLE SOURCES...,0,threat_corpus
17,0,HE WHO ASSERTS MUST PROVE!,0,threat_corpus
17,1,I CAN POST LIE SAYING THAT ALL RAPES IN ASIA ARE COMMITTED BY EUROPEANS..,0,threat_corpus
17,2,AND MAKE YOU BUSY LOOKING FOR THE CLUES IN INTERNET.,0,threat_corpus
17,3,"SO, PLEASE BE EDUCATED AND HONEST TO TALK WITH SOME PROOF/REF TO BACK YOUR CLAIM.",0,threat_corpus
18,0,Well Norway's media is not controlled by the fucking left wings.,0,threat_corpus
18,1,So I think thats enough confirmation.,0,threat_corpus
18,2,If you want extra proof you would have to learn Norwegian.,0,threat_corpus
19,0,"“The statistics tell us that the safest place for women is outside, on the street — most rapes happen at home,” said Tove Smaadahl, general manager of the Shelter Movement.",0,threat_corpus
19,1,"GOOGLE ""In Norway, Gender Equality Does Not Extend to the Bedroom:NEW YORK TIMES""",0,threat_corpus
20,0,"“The statistics tell us that the safest place for women is outside, on the street — most rapes happen at home,” said Tove Smaadahl, general manager of the Shelter Movement.",0,threat_corpus
20,1,"In a 2005 survey by the Norwegian Institute for Urban and Regional Research, 9 percent of female respondents in a relationship reported experiencing sexual assault.",0,threat_corpus
21,0,TO THOSE WHO IS INTERESTED IN THE TRUTH PLEASE GOOGLE,0,threat_corpus
21,1,"""In Norway, Gender Equality Does Not Extend to the Bedroom:NEW YORK TIMES""",0,threat_corpus
21,2,By KATRIN BENNHOLD,0,threat_corpus
21,3,"Published: October 24, 2011.",0,threat_corpus
21,4,"ALSO ""Gil Ronen’s Fabricated Statistics About Oslo Rapists Being All Muslim""",0,threat_corpus
21,5,"Posted on December 23, 2011 by Dorado",0,threat_corpus
22,0,here you go sir: watch?v=YiVVvJIM5UI,0,threat_corpus
23,0,NOT ANOTHER YT VIDEO.,0,threat_corpus
23,1,"ANYBODY CAN MAKE ANY VIDEO, PUT ANY TITLE AND UPLOAD TO YT.",0,threat_corpus
23,2,WHO IS THERE TO VERIFY THE AUTHENTICITY...???,0,threat_corpus
23,3,"PLEASE BE EDUCATED TO QUOTE SOMETHING FROM RELIABLE SOURCES SUCH AS INTERNATIONAL NEWS AGENCY, REPUTABLE NEWSPAPER....",0,threat_corpus
24,0,Death to Islam!,1,threat_corpus
24,1,Death to Islam!,1,threat_corpus
24,2,"The reason why I do not like Islam is because I keep hearing you Muslims raping young girls, terrorizing young women for being out late, and sexually trafficking children!",0,threat_corpus
24,3,"England, France, Germany, Norway, Sweden and other places are in terrible pain because of your people!",0,threat_corpus
24,4,"A woeful, difficult, and evil people!",0,threat_corpus
24,5,THE QURAN CAN GO BURN ITSELF IN HELL!,1,threat_corpus
24,6,Muhammed is a gay tranny!,0,threat_corpus
24,7,"Get the hell out of America, Mussie, because we ain't taking kindly to Islam here!",0,threat_corpus
25,0,"PLEASE BE HONEST, AT LEAST TO YOURSELF, TO READ (HEAR) FROM RIGHT SOURCES.",0,threat_corpus
25,1,BE EDUCATED AND DONT LET CONTROLLED MEDIA TO BRAINWASHED YOU.,0,threat_corpus
25,2,MILLIONS OF AMERICANS CONVERTED TO ISLAM...,0,threat_corpus
25,3,"AND WHAT DO YOU MEAN BY ""Get the hell out of America,...""",0,threat_corpus
26,0,"I have heard from VARIOUS sources, as in more than one news outlet.",0,threat_corpus
26,1,Do you know what I found?,0,threat_corpus
26,2,They all matched up.,0,threat_corpus
26,3,They have reported on many things.,0,threat_corpus
26,4,I have found far more than just the traditional news outlets (whom blacklist the truth) detailing how Islam is hurting Europe!,0,threat_corpus
26,5,I have been educated.,0,threat_corpus
26,6,I can tell you just how educated I am.,0,threat_corpus
26,7,"When I found something online, I found this watch?v=1YnnyXNItqk You tell me if this is NOT an attack on a Christian girl out in broad daylight!",0,threat_corpus
27,0,The girl who was being attacked by Muslims was NOT wearing a burqas!,0,threat_corpus
27,1,She was wearing clothes that typically resemble Christians!,0,threat_corpus
27,2,The attack upon her was pretty violent.,0,threat_corpus
27,3,"One vile Muslim calling out nasara, attracting more men.",0,threat_corpus
27,4,"Then if you listen carefully, they are saying Allakhu ackbar!",0,threat_corpus
27,5,The rape wasn't recorded because the cameraman was pushed out.,0,threat_corpus
27,6,"She was raped that day, 3 days ago out in broad daylight!",0,threat_corpus
27,7,"If it was fake, I would've known.",0,threat_corpus
27,8,But it wasn't!,0,threat_corpus
27,9,Use your EYES!,0,threat_corpus
28,0,MAY I REPEAT AGAIN...,0,threat_corpus
28,1,ONLY IDIOTS BELIEVE IN YT VIDEOS.,0,threat_corpus
28,2,WHY ARE YOU SO CHEAP AND DESPERATE...???,0,threat_corpus
29,0,I am not cheap or desperate.,0,threat_corpus
29,1,I have observed that video multiple times!,0,threat_corpus
29,2,I have paid attention to the environment.,0,threat_corpus
29,3,The attack was vicious!,0,threat_corpus
29,4,"It wasn't fake because if it was, they would ALL be laughing but it wasn't!",0,threat_corpus
29,5,"YouTube videos have leaked out that were true and suppressed by governments, police, and anyone who does NOT want the truth to get out!",0,threat_corpus
29,6,Why are you so ignorant of the truth?,0,threat_corpus
29,7,Why can't you use your eyes to realize that Islam is false?,0,threat_corpus
30,0,"It even mentions slicing the fingertips, beheading people, and Muslim women are given certain penalties while non-Muslim women who are held captive can be forced, raped, abused, violated many times and in any manner as Muslim men favor because Allah is wise, all so merciful.",0,threat_corpus
30,1,"My God is more merciful, more kind because He does not condone rape of any kind, teaches us to love our enemies (even though it is hard), and does not tell us to endorse extermination, raping captives, etc.",0,threat_corpus
31,0,Many Americans converting to Islam despite (Jewish fostered ...,0,threat_corpus
31,1,h t t p://theuglytruth.wordpress.,0,threat_corpus
31,2,28 Feb 2012 ...,0,threat_corpus
31,3,Many Americans converting to Islam despite (Jewish fostered) ...,0,threat_corpus
31,4,world has got so used to see white women having sex like ...,0,threat_corpus
32,0,Women and Conversion to Islam: The American Women's ...,0,threat_corpus
32,1,h t t p://w w w.academia.,0,threat_corpus
32,2,edu/300375/Women_and_Conversio­n_to_Islam...,0,threat_corpus
32,3,Women's conversion to Islam in America has attracted the attention of many ...,0,threat_corpus
32,4,", while Islam has become a controversial topic in the West, a growing number of ...",0,threat_corpus
33,0,"and u guys saying to leave usa , first u amricans stop killing our people , stop raping our women stops pointing our culture , and let me tell you one thing we muslims really don't harm other its those people who don't want peace , n just do a one thing just read a quran once only as a book then you will know the difference :)",0,threat_corpus
34,0,"brothers and sister you are talking about leaving the usa and other non-muslim countries , plzzz guys don't discuss religion and don't point anyone , bcuz I am also a muslim and I have no right to point to other non-muslim religion",0,threat_corpus
35,0,We must protect our hettatije and not be enslaved by theas sarosens.,0,threat_corpus
36,0,we are killing them,1,threat_corpus
37,0,The muzlims will not be able to run the the countries efficiently once they take over.,0,threat_corpus
37,1,The blacks took over the white owned farms in Zimbabwe and look at the state of the country now.,0,threat_corpus
37,2,The same will happen to the uk soon.,0,threat_corpus
37,3,It's going to be end of the health welfare benefits and education state for all.,0,threat_corpus
38,0,Death to Islam.﻿,1,threat_corpus
39,0,Call for action?,0,threat_corpus
39,1,"Ok, go overseas to attack Islamic countries.",1,threat_corpus
39,2,Make their standard of living even worse and then get another massive wave of refugees and immigrants to Western countries.,0,threat_corpus
40,0,Thumbs up if this video makes you think muslims should be gassed.,0,threat_corpus
41,0,It's funny that almost nobody understands that this is (bad) satire.,0,threat_corpus
42,0,I JUST WENT THERE,0,threat_corpus
43,0,QUIT JUDGING THE MUSLIMS!!!!!!!!!,0,threat_corpus
43,1,THEY ARE PEOPLE.....,0,threat_corpus
43,2,WHAT U SHOULD MAKE A TAKING OVER THE WORLD VIDEO ABOUT ARE THE KOREANS!!!!!!!!!!!,0,threat_corpus
44,0,"Muslims breed like fucking rabbits if not worse, they are dirty scum killers and should all die a slow death like they do to humans and animals.",1,threat_corpus
44,1,look at the news!,0,threat_corpus
44,2,it will tell you how many Muslim scum cunts are being born!,0,threat_corpus
44,3,"scum rats, look around the world they are in every nook and cranny of the world.",0,threat_corpus
44,4,need I say more!,0,threat_corpus
44,5,it is time to wake up!!,0,threat_corpus
44,6,"look at the UK we are crowded with this scum, yet the government allow this fucking shite!",0,threat_corpus
44,7,"we need to BOMB the Muslim scum from this planet, they are nasty",1,threat_corpus
45,0,what a load of horse ship.,0,threat_corpus
46,0,lol off with there heads you say?,0,threat_corpus
46,1,just think arsehole while your sat there haveing your local meeting on how to bomb and kill innocent people..,0,threat_corpus
46,2,a b52 at 30000ft drops a 2000ib bomb and takes the fucking lot of you out..,0,threat_corpus
47,0,The video basically says that Muslims shouldnt be allowed to breed.,0,threat_corpus
47,1,"It says we should bomb their countries into the stone age, then when they come here looking for help we should what?",1,threat_corpus
47,2,Toss them out?,0,threat_corpus
47,3,That is racism.,0,threat_corpus
47,4,They dont have a home cause we took it for their oil.,0,threat_corpus
47,5,Jesus said to do unto others as you would have them do unto you.,0,threat_corpus
48,0,I love it when Muslims create youtube accounts with common British / American names as there username.,0,threat_corpus
48,1,To try and help there arguments but mate you're fucking failing miserably..,0,threat_corpus
48,2,"And no this video is saying nothing of the sort you fuckwit, stop making this shit up.",0,threat_corpus
48,3,It's saying we should have tighter immigration laws!,0,threat_corpus
48,4,And we haven't taken anyones home for oil.,0,threat_corpus
48,5,Stop with the fucking bullshit you retard.,0,threat_corpus
49,0,Actually this is my real name.,0,threat_corpus
49,1,I am just a white dude from Cali.,0,threat_corpus
49,2,"I now live in Vancouver CanaDUH eh, and you can look me up in the phone book.",0,threat_corpus
49,3,"If I was a Muslim, I would be proud of it , Just like I am proud of being a white American/Canadian dual.",0,threat_corpus
49,4,This fucken country was founded on immigration you fucktard.,0,threat_corpus
49,5,Do I sound like a fucken Muslim?,0,threat_corpus
49,6,Racist Faggot goof.,0,threat_corpus
50,0,Sounds like its time to start castrating these camel-molesting savages.,1,threat_corpus
51,0,"When muslim numbers are up,they will demand their own laws,but in Saudi Arabia,you cannot as a non muslim visit mecca,or mix with the local population.Yet we accomodate their violent needs,and unjust ways and let them have thier own laws.",0,threat_corpus
51,1,"When muslim outnumber us non muslims they will riot and storm government buildings,how will the government like their muslims then?After that the army will respond and shoot them.Muslims cause war no matter where they go,they never learn",0,threat_corpus
52,0,nice music btw,0,threat_corpus
53,0,(at least) During last 200 years All Major Innovation Came from (bad) West.,0,threat_corpus
53,1,If Muslim countries are the best then WHY W-H-Y people from arabic countries trying hard to find a place in the West??,0,threat_corpus
53,2,If Wet is bad---Stay @ home!!!,0,threat_corpus
54,0,We would have added 50 million more Americans if it weren't for abortion.,0,threat_corpus
54,1,It really doesn't help with the fact that Obamacare is forcing all insurance companies to cover birth control.,0,threat_corpus
55,0,"Micheal Hester, Remember in the 15th Century, when muslims ruled Spain?",0,threat_corpus
55,1,"Did muslims persecute holymen (priests, rabies etc.) from other religions?",0,threat_corpus
55,2,"No they didnt, becuz its against islam to do so....",0,threat_corpus
55,3,"Also Gays, Feminists anf athiests won't be persecuted, as it is against islam to kill civillians unless as an act of defense, or if they are criminals.",0,threat_corpus
55,4,You also said in the eyes of a muslim your either a believer or an infidel.,0,threat_corpus
55,5,"Islam teaches us to be king regardless of colour, race or religion.",0,threat_corpus
56,0,people like mosab hassan yousef(ex-muslim) should be encouraged...,0,threat_corpus
56,1,he speaks truth about islam..,0,threat_corpus
56,2,he is son of hamas leader..,0,threat_corpus
56,3,despite all these his father being orthodox muslim mosab converted to christianity,0,threat_corpus
57,0,And by the way I say all this as an Atheist.,0,threat_corpus
57,1,"We need to realise that Christianity is not the real threat now, Islam is.",0,threat_corpus
57,2,"Sure we should keep fighting the religious right, but Islam MUST be the priority for all of us, Atheist, Christian, Hindu, Jewish or anyone else.",0,threat_corpus
58,0,"in that is killing the innocent Palestinian,specially the children?wow!great country isn't it?lol..",0,threat_corpus
59,0,what truth do you mean ?,0,threat_corpus
60,0,"you're talking without any knowledge, then pretending to care about science....that doesn't seem a science-loving man for me !",0,threat_corpus
61,0,"man go gain some education, you're embarrassing yourself !",0,threat_corpus
61,1,en.wikipedia(.)org/wiki/Islami­c_Golden_Age,0,threat_corpus
62,0,"well, science itself can be worse than wackadoodlery in the hands of, say, the North Koreans.",0,threat_corpus
62,1,"Unless you consider their communist/mind control cult to be comparable to radical Islam, in which case lets just say the two do not inherently counteract each other.",0,threat_corpus
63,0,"Not only increase in Muslim population, but so much immigration from Asian countries too.",0,threat_corpus
64,0,christianity is designed to oppress people and enslave.,0,threat_corpus
64,1,"slavery is justified in the bible, along with rape and incest.",0,threat_corpus
64,2,christians are the blindest bats in a cave of lies..,0,threat_corpus
64,3,you open your eyes.,0,threat_corpus
64,4,this is why i hate christianity.,0,threat_corpus
64,5,"if i am different to the belief, you call me sick..",0,threat_corpus
64,6,why do i have to be sick?,0,threat_corpus
64,7,you need to pay attention to what you're worshipping..,0,threat_corpus
64,8,texts written by slave masters and murderers ﻿,0,threat_corpus
65,0,You don't know anything about Christianity and you are are full of hatred that will twist your soul.,0,threat_corpus
65,1,I hope you get well some day.,0,threat_corpus
66,0,"You have the lies of the devil,....In no christian teaching does it say incest is okay,yet i can pick up your book and see that marrying a six year old is permitted.",0,threat_corpus
67,0,I guess you are a Muslim.,0,threat_corpus
67,1,And you hate Christianity.,0,threat_corpus
67,2,Do you know that without Christianity Islam doesn't even exist?,0,threat_corpus
67,3,"Christianity is built on Judaism, and Islam is built on Christianity.",0,threat_corpus
67,4,"Muhammad claimed to be a prophet from the same line of prophets as Jesus and Moses (he wasn't, of course), and he claimed to worship the same God as Jews and Christians.",0,threat_corpus
67,5,"Also, I have suspicions that you mix between the Old and the New Testaments.",0,threat_corpus
67,6,"(If you are not a Muslim, ignore my comment.)",0,threat_corpus
68,0,The best way to take over a civilization is to breed them out.,0,threat_corpus
68,1,I personally will fight to the death here in the south to get rid of as many as I can.,1,threat_corpus
68,2,We need a muslim pestacide,0,threat_corpus
69,0,"""40% of Russia Army will be Muslim""",0,threat_corpus
69,1,"Well, that's great for USA, they like to kill Muslims and Russians, so it's 2 birsd with 1 shot...",0,threat_corpus
70,0,lol Russia also killed muslims in Chechniya,0,threat_corpus
71,0,SOON THE CALL TO PRAYER WILL BE HEARD IN EVERY CITY OF THE WORLD !!!,0,threat_corpus
72,0,ALLAH HO AKBAR !!!!,0,threat_corpus
73,0,fuck you bitch die in hell piece of shit,1,threat_corpus
74,0,So no-muslim people you better get you self more kids or the word would be islamic tamtamdamm,0,threat_corpus
75,0,We are taking the word bitches you better wach outhahahahahha this is making me laugh so bullshit,0,threat_corpus
76,0,"One Muslim in America is one too many,",0,threat_corpus
77,0,wake up West!,0,threat_corpus
77,1,resurrect the Crusades!,0,threat_corpus
77,2,Don your Crosses.,0,threat_corpus
77,3,Abolish the enemy.,0,threat_corpus
78,0,"YEAH ASREHOLE KILL MUSLIM LONG LIVE CHRISTIANITY.KILL MUSLIMS TO SAVE N PROECT CHRISTIANITY THATS WHAT CHRISTIANS HAVE BEEN DOING SINCE LAST 2000 YRS RECENTS CHRISTIANS KILLING MUSLIMS IN AFGHANISTAN,IRAQ,PAKISTAN KILL KILL KILL MUSLIMS SO THAT CHRISTIANITY SURVIVES KILL FOR JESUS BECAUSE HE HAD DIED 4 OUR SINS V R SINLESS SO KILL MUSLIMS FOR CHRISTIANTY FOR OUR LORD JESUS KILING MUSLIMS IS NOT A SIN 4 CHRISTIAN N CHRISTIANTY WIPE THEM OFF FROM THE FACE OF THE EARTH ONLY V R HUMANS N THER R NOT",1,threat_corpus
79,0,kill all religions..﻿,1,threat_corpus
80,0,If islam take over the world and everybody becomes muslims than the worlds problem will b solved automatically all will b terrorist in the world.,0,threat_corpus
81,0,The world was fine before religion.,0,threat_corpus
82,0,ALLAHU AKBAR...SOON WE WILL CONQUER THE WORLD...,1,threat_corpus
83,0,lets see you faggot muslims bring this shit to mexico or brazil,0,threat_corpus
84,0,"Muslims want to stone homosexuals to death, enough said.",0,threat_corpus
84,1,We shouldn't have to live in a society with these fuckheads with these fucking extreme point of views.,0,threat_corpus
85,0,Are you white?,0,threat_corpus
86,0,"I'm a Caucasian male who advocates for equal and fair treatment of all people by all governments and its citizens, regardless of race, gender, religious belief, political belief, sexual orientation or gender identity.",0,threat_corpus
87,0,"Oh I thought you were a woman becuase women are the ones who care about that shit and also because you ""met families with lots of kids"".",0,threat_corpus
87,1,wait are you gay?,0,threat_corpus
88,0,"And for the record, yes, the fact that I care about another human being automatically means that I'm sexually attracted to other men (of course it doesn't!).",0,threat_corpus
88,1,No I'm not homosexual.,0,threat_corpus
89,0,"You keep pointing fingers to the Islam text, but WHO CARES.",0,threat_corpus
89,1,God shows extreme anger and wrath in the Bible killing many people.,0,threat_corpus
89,2,But Judaism and Christianity are religions of love and respect.,0,threat_corpus
89,3,"It's all about the interpretation, people are attracted to a positive interpretation of a holy text, particularly in the modern world.",0,threat_corpus
89,4,"Also remember that these texts were written thousands of years ago, when the culture was rapidly different than it is today.",0,threat_corpus
90,0,Keep in mind the VAST number of Muslims there are in the world.,0,threat_corpus
90,1,There are many.,0,threat_corpus
90,2,"Some are bad apples, but many are good apples.",0,threat_corpus
90,3,I linked to a facebook page earlier.,0,threat_corpus
90,4,A human with any compassion cannot stare at those people and call them terrorists.,0,threat_corpus
91,0,You obviously believe every positive thing about something you read do you?,0,threat_corpus
91,1,Like I said actually read about the religion.,0,threat_corpus
91,2,Know how their prophent was a pedophile and why they are having that many kids.,0,threat_corpus
91,3,"Also a muslim commented on this video named jabran hussian, look at his channel at one of his replies to a comment.",0,threat_corpus
91,4,"It starts out with ""How dare you know that"" and read what the comment it replied to said.",0,threat_corpus
92,0,and i will kill evey fucking muslim and arab!﻿,1,threat_corpus
93,0,"You have fun with that, pal.",0,threat_corpus
93,1,"The world is, overall, moving in a completely different moral direction than that.",0,threat_corpus
93,2,Have fun hating on another race in the comforts of the community of this video.,0,threat_corpus
94,0,same here in Switzerland too!﻿,0,threat_corpus
95,0,"when bacteria grows to a critical populous inside a petrie dish, it destroys itself and decreases.",0,threat_corpus
95,1,So too will the earth's population.,0,threat_corpus
95,2,I am ready and willing to be the first :-),0,threat_corpus
96,0,Europe will just have to let mass immigration from china and so on they already have plans for this,0,threat_corpus
97,0,You killed him,0,threat_corpus
98,0,You're suggesting that you want to kill Muslims because of their belief?,0,threat_corpus
98,1,Then I want Christians killed too for infringing on the rights of other humans.,1,threat_corpus
98,2,"Christians are just as guilty, if not more, than Muslims.",0,threat_corpus
98,3,Get your head of your idiocy and wake up - Somebody worshiping to a different god than you doesn't mean that they want to kill you.,0,threat_corpus
99,0,It'd just be nice if they could stay in the Middle East where they belong.,0,threat_corpus
99,1,We don't want them here!,0,threat_corpus
99,2,don't you get it?,0,threat_corpus
100,0,You lack one shred of evidence to suggest that the majority of Islams pose any threat.,0,threat_corpus
100,1,"If you look at the Islamic message, you'll see how it actually promotes peace.",0,threat_corpus
100,2,"I don't study the language, but I can tell from doing minimal research in reliable sources that these stereotypes related to the Islam is a lie.",0,threat_corpus
100,3,Open your eyes and do some valid research for once.,0,threat_corpus
100,4,"""Stay in the middle east where they belong"" What if they're trying to escape the violence that plagues that area?",0,threat_corpus
101,0,"yes and no, it was meant to say kill all these fucking rats",1,threat_corpus
102,0,thats not a cool thing to say dude.,0,threat_corpus
103,0,We need a fucking Crusade!!!!,0,threat_corpus
104,0,"there are so many muslims in my country and none of them is a robber or thief, drug dealer , involved into prostitution etc,,,they are good workers who honestly try to built a new life in a new country...",0,threat_corpus
104,1,the scummy immigrants are albanians romanians and slavic ppl...,0,threat_corpus
104,2,"seriously, whats wrong with muslims?",0,threat_corpus
105,0,"this video is incredibly true i am from india and even in india every muslim couple give birth to not less than 3 children, i will give you my adress and phone number and if you show me any muslim family in india which has less than 3 children i will give you a 100 thousand dollars the muslim people give birth to many children though they do not have the capacity to take care of them and these children with out education develop into antisocial elements and terrorists",0,threat_corpus
106,0,"Dude, what about Gipsys, in my country every Gipsy has 6 kids and havent house, jobs, dont go to school, they steal, rape...",0,threat_corpus
106,1,And by the way Gipsys are your people they came from India.,0,threat_corpus
107,0,"Yeah, that's not racist at all.",0,threat_corpus
107,1,"Not every Muslim wants to kill you, ya know.",0,threat_corpus
107,2,Most of them just want peace.,0,threat_corpus
107,3,But idiots like you will never give it to them.,0,threat_corpus
107,4,"Also, was ""buy a plane ticket"" a pun at 9/11?",0,threat_corpus
108,0,"yeah well we dont want them here: their rats, vermin and they breed like them to.",0,threat_corpus
108,1,We dont want Europe to become Eurarabia,0,threat_corpus
109,0,"""They're rats"" - what the hell makes you think this?",0,threat_corpus
109,1,"Islam is just a different religion, just as dangerous as Christianity.",0,threat_corpus
109,2,"""They breed like them too"" - wow, how vulgar can you get?",0,threat_corpus
109,3,What's wrong with people having a lot of children?,0,threat_corpus
109,4,I've met many happy Christian families who have like 6-10 children.,0,threat_corpus
109,5,What makes you feel entitled to tell an entire culture to leave an area?,0,threat_corpus
109,6,Are you really that sensitive and insecure about your believes in your own god?,0,threat_corpus
110,0,No allah is not gonna get me jesus will destroy islam,0,threat_corpus
111,0,"islam and pig shit,,,,,,,one of the same!",0,threat_corpus
112,0,its funny how these muslims think this will work.,0,threat_corpus
112,1,As if the CIA doesn't have a plan in place for this.,0,threat_corpus
113,0,Islam is coming.,0,threat_corpus
113,1,And peace all over the world will reign.,0,threat_corpus
114,0,why do muslims want to change the laws in the countries they go to?,0,threat_corpus
114,1,if islams teachings are so perfect why dont you stay in sharia law countries?,0,threat_corpus
114,2,you dont see westerners going to islamic countries and trying to practice western culture!?,0,threat_corpus
114,3,you are strange folk,0,threat_corpus
115,0,We're a religion of peace and we'll destroy America to prove it!,1,threat_corpus
116,0,You dont seems to understand the meaning of peace.,0,threat_corpus
116,1,Come to my house and threaten my family and i will show you the meaning of peace.,0,threat_corpus
117,0,"since when is ireland in great britain, @3mins 41 seconds.",0,threat_corpus
118,0,i dread my future now,0,threat_corpus
119,0,"One huge factor contributing to Muslim growth which is often forgotten is the fact that a Muslim woman cannot marry a non-Muslim, but a Muslim man can marry a non-Muslim.",0,threat_corpus
119,1,"In the resulting union of a Muslim marrying a non-Muslim, must result in any and all children from such a union or any union being raised as a Muslim.",0,threat_corpus
120,0,"someone please make the flash game ""pandemic muslim edition""",0,threat_corpus
121,0,Solve the problem by castrating all Muslim males at birth.,1,threat_corpus
122,0,"If people have difficulty understanding the religion of Islam, it does not mean that religion is wrong is true that there are many teams stray and kill innocent people under the pretext of jihad We do not kill the improve us and improve even Karhina was religion in history religion of mercy and this believes people who are not Muslims to Islam",0,threat_corpus
123,0,you make as much sense as you religion does.,0,threat_corpus
124,0,so maybe if women stopped being so reserved and let me fuck their pussys then the world will be fine..no more muslims,0,threat_corpus
125,0,Why Muhammad hated Jews:,0,threat_corpus
125,1,Jew-hatred masks an existential problem in Islam.,0,threat_corpus
125,2,"Islam is terrified of the Jews, and the No.1 enemy of Islam is the TRUTH, which must be covered at any cost.",0,threat_corpus
