sentence,weak_label,reviewer_label,matched_profanity_terms,matched_violence_phrases,source
Boys- aey hum aise sakhti s rehte hein hein aise. *Le girl gives a smile and passes by* Yar mujhe dekh k hasi thi yaar wo^ Abey hat bc mujhe dekh k hasi thi saaley. Yar kya pyari bachi thi. 😍♥ Le their friends: OYEEEE BHABI BHABII...,NON_VIOLENT_ABUSE,NON_VIOLENT_ABUSE,bc,,hingcorpus_weak_labeled
writers ko kya bole i mean prachi ko achha rakhte but uska character thoda strong to bna hi sakte the bilkul bechari bna diya hai mai to relate bhi nai kr usse ab,SAFE,SAFE,,,hingcorpus_weak_labeled
Son manga de parsitos,SAFE,SAFE,,,hingcorpus_weak_labeled
©    .  ©  ®   ©,SAFE,SAFE,,,hingcorpus_weak_labeled
You're not missing anything. Chutiya bas de rha h thodi der me bhikari mujhe bhi block kar dega kyuki toh iski maar hi li hai maine 😂😂,NON_VIOLENT_ABUSE,NON_VIOLENT_ABUSE,chutiya,,hingcorpus_weak_labeled
"golmaal (original), meetha (original), satte pe satta, khiladi, dil tera aashiq, baadshah, one two ka four, phir bhi dil hai hindustani, bajrangi bhaijaan, pk, hum hai rahi pyaar ke",NON_VIOLENT_ABUSE,NON_VIOLENT_ABUSE,meetha,,hingcorpus_weak_labeled
lo hara con ?!!,SAFE,SAFE,,,hingcorpus_weak_labeled
How your tweet is different from a s b!got? Kal ko sanghi topi walon ki pic tweet karenge to mat.,SAFE,SAFE,,,hingcorpus_weak_labeled
"alexa play dil ko karar aaya for fd 😭❤ my babies met after months ❤😭❤. really i am getting a actual reality of the idiom, sabar ka fal meetha hota hai!!!🤩",NON_VIOLENT_ABUSE,NON_VIOLENT_ABUSE,meetha,,hingcorpus_weak_labeled
Video banata h to bolta h finance advice ni h Or yaha twitter pe call deke liquidate h Vishudh chutiya lagta h mujhe ye,NON_VIOLENT_ABUSE,NON_VIOLENT_ABUSE,chutiya,,hingcorpus_weak_labeled
nothing feels more awkward than a random kid saying didi mai badi hokar aapke jaisi when she doesn t even know kya chutiya life hai iss didi ki,NON_VIOLENT_ABUSE,NON_VIOLENT_ABUSE,chutiya,,hingcorpus_weak_labeled
shame on the so called tabhi ye sab tikait gang k paise bnane aur sikh community mei se jo gye hai unke mauj masti karne k bahane hai aise logo ko to beech sadak mei hi goli maar deni chahiye jinhone uske sath ye sab kiya,POTENTIAL_THREAT,POTENTIAL_THREAT,,goli maar,hingcorpus_weak_labeled
saket ji tum chutiya gaye ho yaar tumko ho gayi hai adat ungali karne ki koi adami kuch likhta hai tumko vaha jake comments ya tweet accha na lage to unfollow kar do ye extortion wali kyo behave like man not p sy watching other tweets unnecessary respond to him,NON_VIOLENT_ABUSE,NON_VIOLENT_ABUSE,chutiya,,hingcorpus_weak_labeled
Dream 11 chutiya paise kr nhi toh hm sb dream 11 uninstall kr denga,NON_VIOLENT_ABUSE,NON_VIOLENT_ABUSE,chutiya,,hingcorpus_weak_labeled
E chutiya ka kaun dekhega video,NON_VIOLENT_ABUSE,NON_VIOLENT_ABUSE,chutiya,,hingcorpus_weak_labeled
haan i know teri behen bahut achi hai jo behen apna net share kare vo to world s best sis,SAFE,SAFE,,,hingcorpus_weak_labeled
"Theyll be salty and J their whole life! Khud ka season nai sambhala gaya iss season mein aake guide karenge, wah!",SAFE,SAFE,,,hingcorpus_weak_labeled
to 2 inning se legend ban gaya bc saale,NON_VIOLENT_ABUSE,NON_VIOLENT_ABUSE,bc,,hingcorpus_weak_labeled
